step,sim_time_s,total_vehicles,avg_speed_mps,avg_speed_kmh,halted_vehicles,congestion_pct,avg_wait_s,active_evs,co2_mg_s,fuel_waste_index,total_departed_cum,total_arrived_cum
60,61.0,1,9.63,34.668,0,0.0,0.0,0,5227.09,0.0,0,0
90,91.0,2,9.462,34.064,0,0.0,0.0,0,3712.22,0.0,0,0
120,121.0,2,8.079,29.084,0,0.0,0.0,0,2969.22,0.0,0,0
150,151.0,3,13.632,49.076,0,0.0,0.0,0,9827.17,0.0,0,0
180,181.0,6,10.778,38.802,0,0.0,0.0,0,13361.91,0.0,0,0
210,211.0,7,10.442,37.59,0,0.0,0.0,0,17844.94,0.0,0,0
240,241.0,10,12.102,43.568,0,0.0,0.0,0,22844.18,0.0,0,0
270,271.0,13,8.496,30.587,1,7.69,0.0,0,36513.41,0.3,1,0
300,301.0,15,9.884,35.583,0,0.0,0.0,0,37746.01,0.0,1,0
330,331.0,17,11.24,40.463,0,0.0,0.0,0,41323.56,0.0,1,0
360,361.0,19,10.667,38.4,0,0.0,0.0,0,43849.54,0.0,1,0
390,391.0,23,10.711,38.559,0,0.0,0.0,0,49017.22,0.0,1,0
420,421.0,23,12.036,43.331,0,0.0,0.0,0,59875.37,0.0,1,0
450,451.0,24,9.953,35.83,0,0.0,0.0,0,51758.38,0.0,1,0
480,481.0,27,10.264,36.951,0,0.0,0.0,0,39436.96,0.0,1,0
510,511.0,27,12.104,43.574,0,0.0,0.0,0,57823.29,0.0,1,0
540,541.0,29,10.776,38.794,0,0.0,0.0,0,75303.63,0.0,1,0
570,571.0,30,10.762,38.744,0,0.0,0.0,0,69333.86,0.0,1,0
600,601.0,33,9.968,35.884,1,3.03,0.0,0,68874.51,0.5,2,0
630,631.0,33,10.039,36.14,0,0.0,0.0,0,93334.24,0.0,2,0
660,661.0,35,10.609,38.194,0,0.0,0.0,0,93567.12,0.0,2,0
690,691.0,37,11.287,40.634,0,0.0,0.0,0,111018.51,0.0,2,0
720,721.0,38,10.296,37.066,2,5.26,0.11,0,101262.66,0.6,3,0
750,751.0,42,11.169,40.207,0,0.0,0.0,0,112234.11,0.0,3,0
780,781.0,43,10.082,36.297,1,2.33,0.33,0,100626.42,0.3,3,0
810,811.0,44,9.77,35.172,0,0.0,0.0,0,87858.35,0.0,3,0
